OA11CD,LSOA11CD
E00048094,E01009499
E00046442,E01009162
E00045763,E01009021
E00046466,E01009164
E00175685,E01008895
E00047320,E01009338
E00046391,E01033639
E00047183,E01009310
E00047102,E01009281
E00046187,E01009098
E00046106,E01009090
E00047176,E01009302
E00045652,E01008984
E00047045,E01009266
E00047937,E01009474
E00045221,E01008916
E00045254,E01008918
E00047478,E01033650
E00046122,E01009091
E00047876,E01009447
E00045990,E01009070
E00045911,E01009049
E00045661,E01008987
E00047350,E01009333
E00046328,E01009133
E00045876,E01009033
E00045731,E01009007
E00045240,E01033637
E00047861,E01009444
E00047826,E01009436
E00047582,E01009389
E00047503,E01009372
E00046610,E01009203
E00047328,E01009339
E00046174,E01009101
E00046691,E01009210
E00046309,E01009128
E00046427,E01009153
E00045380,E01008932
E00045301,E01008920
E00047348,E01009343
E00046259,E01009108
E00048018,E01009486
E00046332,E01009133
E00047552,E01009395
E00047903,E01009469
E00047982,E01009478
E00047305,E01033642
E00045872,E01009031
E00047404,E01009350
E00047485,E01009366
E00175705,E01033630
E00048099,E01009500
E00175665,E01033618
E00046622,E01009204
E00175703,E01009458
E00047695,E01009416
E00045344,E01008944
E00047614,E01009410
E00045522,E01008981
E00046367,E01033622
E00046554,E01033645
E00046336,E01009134
E00045745,E01009007
E00046572,E01009186
E00045176,E01008905
E00046825,E01009225
E00046362,E01009139
E00047126,E01009294
E00175730,E01009378
E00048050,E01009477
E00046559,E01009182
E00046551,E01033645
E00046982,E01009274
E00046903,E01009238
E00047671,E01009405
E00046956,E01009258
E00047744,E01009431
E00046855,E01009239
E00045936,E01009062
E00045654,E01008984
E00046555,E01009182
E00046674,E01033644
E00048043,E01009492
E00045338,E01008940
E00046928,E01009249
E00045374,E01008933
E00046599,E01009177
E00046518,E01009157
E00175772,E01009145
E00045368,E01008949
E00048136,E01009509
E00046226,E01009117
E00047724,E01009429
E00046438,E01009165
E00046729,E01009218
E00175633,E01033619
E00046522,E01009161
E00045083,E01008891
E00045288,E01008918
E00047460,E01009379
E00045346,E01008942
E00047063,E01009286
E00046204,E01009113
E00046285,E01009123
E00046936,E01009249
E00046240,E01009120
E00047677,E01009408
E00047160,E01009299
E00046875,E01009243
E00045259,E01008923
E00047044,E01009271
E00047465,E01009380
E00175782,E01008992
E00045480,E01008965
E00045877,E01009035
E00175641,E01009097
E00046949,E01009257
E00046910,E01009261
E00048015,E01009489
E00175640,E01033564
E00045967,E01009051
E00175725,E01008930
E00045630,E01008996
E00045546,E01008969
E00047602,E01009407
E00175650,E01009345
E00046703,E01009213
E00046045,E01009065
E00046782,E01009232
E00048028,E01009485
E00047944,E01009456
E00046948,E01009255
E00047633,E01009411
E00175668,E01008995
E00048042,E01009488
E00046473,E01009171
E00045184,E01008907
E00045105,E01008896
E00175692,E01008973
E00045407,E01008941
E00045486,E01008953
E00046430,E01009151
E00047999,E01009482
E00047918,E01009457
E00046731,E01009218
E00047926,E01009472
E00047835,E01009440
E00046940,E01009250
E00045356,E01008945
E00045425,E01008954
E00045350,E01008945
E00047039,E01009269
E00046523,E01009161
